Log created: 2025-07-15 18:27:41
Type: backup
[2025-07-15 18:27:44][notice]Preparing to dump table wp_cff_feed_caches
[2025-07-15 18:27:44][notice]Preparing to dump table wp_ctf_feed_caches
[2025-07-15 18:27:44][notice]Preparing to dump table wp_sby_feeds
[2025-07-15 18:27:44][notice]Preparing to dump table wp_sby_feed_caches
[2025-07-15 18:27:44][notice]Preparing to dump table wp_bookly_staff_schedule_items
[2025-07-15 18:27:44][notice]Preparing to dump table wp_sbtt_sources
[2025-07-15 18:27:44][notice]Preparing to dump table wp_sbr_sources
[2025-07-15 18:27:44][notice]Preparing to dump table wp_sbtt_feeds
[2025-07-15 18:27:44][notice]Preparing to dump table wp_sbtt_feed_caches
[2025-07-15 18:27:44][notice]Preparing to dump table wp_wc_product_attributes_lookup
[2025-07-15 18:27:44][notice]Preparing to dump table wp_sbr_feeds
[2025-07-15 18:27:44][notice]Preparing to dump table wp_wc_product_download_directories
[2025-07-15 18:27:44][notice]Preparing to dump table wp_sbr_feed_caches
[2025-07-15 18:27:44][notice]Preparing to dump table wp_wc_rate_limits
[2025-07-15 18:27:44][notice]Preparing to dump table wp_bookly_services
[2025-07-15 18:27:44][notice]Preparing to dump table wp_sbi_feeds
[2025-07-15 18:27:44][notice]Preparing to dump table wp_sbi_feed_caches
[2025-07-15 18:27:44][notice]Preparing to dump table wp_bookly_schedule_item_breaks
[2025-07-15 18:27:44][notice]Preparing to dump table wp_bookly_holidays
[2025-07-15 18:27:44][notice]Preparing to dump table wp_bookly_mailing_campaigns
[2025-07-15 18:27:44][notice]Preparing to dump table wp_bookly_mailing_list_recipients
[2025-07-15 18:27:44][notice]Preparing to dump table wp_ctf_feeds
[2025-07-15 18:27:44][notice]Preparing to dump table wp_actionscheduler_actions
[2025-07-15 18:27:44][notice]Preparing to dump table wp_wc_admin_notes
[2025-07-15 18:27:44][notice]Preparing to dump table wp_yoast_indexable_hierarchy
[2025-07-15 18:27:44][notice]Preparing to dump table wp_term_taxonomy
[2025-07-15 18:27:44][notice]Preparing to dump table wp_ctf_feeds_posts
[2025-07-15 18:27:44][notice]Preparing to dump table wp_bookly_appointments
[2025-07-15 18:27:44][notice]Preparing to dump table wp_bookly_payments
[2025-07-15 18:27:45][notice]Preparing to dump table wp_bookly_sent_notifications
[2025-07-15 18:27:45][notice]Preparing to dump table wp_bookly_sessions
[2025-07-15 18:27:45][notice]Preparing to dump table wp_bookly_staff_services
[2025-07-15 18:27:45][notice]Preparing to dump table wp_bookly_sub_services
[2025-07-15 18:27:45][notice]Preparing to dump table wp_cff_facebook_feed_locator
[2025-07-15 18:27:45][notice]Preparing to dump table wp_cff_sources
[2025-07-15 18:27:45][notice]Preparing to dump table wp_ctf_feed_locator
